hero,opponent,hero_wins,games_played,win_rate
1,2,7,13,0.538
1,3,9,19,0.474
1,4,12,17,0.706
1,5,11,25,0.44
1,6,6,10,0.6
1,7,19,37,0.514
1,8,16,27,0.593
1,9,12,20,0.6
1,10,29,59,0.492
1,11,8,16,0.5
1,12,8,17,0.471
1,13,21,38,0.553
1,14,3,9,0.333
1,15,8,22,0.364
1,16,36,60,0.6
1,17,28,46,0.609
1,18,9,11,0.818
1,19,18,31,0.581
1,20,5,15,0.333
1,21,8,14,0.571
1,22,9,12,0.75
1,23,18,24,0.75
1,25,24,36,0.667
1,26,7,10,0.7
1,27,8,14,0.571
1,28,6,15,0.4
1,29,8,13,0.615
1,30,12,14,0.857
1,31,19,31,0.613
1,32,4,8,0.5
1,33,2,6,0.333
1,34,2,3,0.667
1,35,3,7,0.429
1,36,7,13,0.538
1,37,8,12,0.667
1,38,10,18,0.556
1,39,17,31,0.548
1,40,5,18,0.278
1,41,21,26,0.808
1,42,23,32,0.719
1,43,17,25,0.68
1,44,10,12,0.833
1,45,10,26,0.385
1,46,10,24,0.417
1,47,10,17,0.588
1,48,6,9,0.667
1,49,11,22,0.5
1,50,8,12,0.667
1,51,26,40,0.65
1,52,25,46,0.543
1,53,16,30,0.533
1,54,14,29,0.483
1,55,24,32,0.75
1,56,1,3,0.333
1,57,9,22,0.409
1,58,10,16,0.625
1,59,4,9,0.444
1,60,2,7,0.286
1,61,3,5,0.6
1,62,2,4,0.5
1,63,5,11,0.455
1,64,15,29,0.517
1,65,5,16,0.312
1,66,4,15,0.267
1,67,13,16,0.812
1,68,35,40,0.875
1,69,9,19,0.474
1,70,6,12,0.5
1,71,7,11,0.636
1,72,11,28,0.393
1,73,6,14,0.429
1,74,8,17,0.471
1,75,3,7,0.429
1,76,8,13,0.615
1,77,3,11,0.273
1,78,8,11,0.727
1,79,10,28,0.357
1,80,2,6,0.333
1,81,3,9,0.333
1,82,3,13,0.231
1,83,7,17,0.412
1,84,25,36,0.694
1,85,7,16,0.438
1,86,29,50,0.58
1,87,18,26,0.692
1,88,10,22,0.455
1,89,8,9,0.889
1,90,14,24,0.583
1,91,7,12,0.583
1,92,2,2,1.0
1,93,18,35,0.514
1,94,9,14,0.643
1,95,10,18,0.556
1,96,12,23,0.522
1,97,3,6,0.5
1,98,6,22,0.273
1,99,7,11,0.636
1,100,12,20,0.6
1,101,17,28,0.607
1,102,20,27,0.741
1,103,3,9,0.333
1,104,17,25,0.68
1,105,0,1,0.0
1,106,39,62,0.629
1,107,8,15,0.533
1,108,4,7,0.571
1,109,11,17,0.647
1,110,18,31,0.581
1,111,14,26,0.538
1,112,19,27,0.704
1,113,5,7,0.714
1,114,10,17,0.588
1,119,7,12,0.583
1,120,13,30,0.433
1,121,31,53,0.585
1,126,21,38,0.553
1,128,13,20,0.65
1,129,18,30,0.6
2,1,7,14,0.5
2,3,27,56,0.482
2,4,14,23,0.609
2,5,11,29,0.379
2,6,12,19,0.632
2,7,37,86,0.43
2,8,31,72,0.431
2,9,22,45,0.489
2,10,31,60,0.517
2,11,14,33,0.424
2,12,15,26,0.577
2,13,28,59,0.475
2,14,10,19,0.526
2,15,15,24,0.625
2,16,30,55,0.545
2,17,15,32,0.469
2,18,6,9,0.667
2,19,36,72,0.5
2,20,14,28,0.5
2,21,8,20,0.4
2,22,10,34,0.294
2,23,36,65,0.554
2,25,50,87,0.575
2,26,12,25,0.48
2,27,10,32,0.312
2,28,7,19,0.368
2,29,10,21,0.476
2,30,10,14,0.714
2,31,36,67,0.537
2,32,8,21,0.381
2,33,7,13,0.538
2,34,7,14,0.5
2,35,7,20,0.35
2,36,9,24,0.375
2,37,8,12,0.667
2,38,17,47,0.362
2,39,19,36,0.528
2,40,12,25,0.48
2,41,31,55,0.564
2,42,20,48,0.417
2,43,13,37,0.351
2,44,9,26,0.346
2,45,14,40,0.35
2,46,20,37,0.541
2,47,16,29,0.552
2,48,6,16,0.375
2,49,17,32,0.531
2,50,18,48,0.375
2,51,15,29,0.517
2,52,24,62,0.387
2,53,15,47,0.319
2,54,22,58,0.379
2,55,4,9,0.444
2,56,2,9,0.222
2,57,16,32,0.5
2,58,16,34,0.471
2,59,7,13,0.538
2,60,9,22,0.409
2,61,4,6,0.667
2,62,7,12,0.583
2,63,14,29,0.483
2,64,12,30,0.4
2,65,19,44,0.432
2,66,18,49,0.367
2,67,13,23,0.565
2,68,21,43,0.488
2,69,8,12,0.667
2,70,18,36,0.5
2,71,10,28,0.357
2,72,26,52,0.5
2,73,6,17,0.353
2,74,27,62,0.435
2,75,13,19,0.684
2,76,28,45,0.622
2,77,3,17,0.176
2,78,4,9,0.444
2,79,25,57,0.439
2,80,4,12,0.333
2,81,13,25,0.52
2,82,1,8,0.125
2,83,16,37,0.432
2,84,38,74,0.514
2,85,16,37,0.432
2,86,62,116,0.534
2,87,16,35,0.457
2,88,17,35,0.486
2,89,6,12,0.5
2,90,31,77,0.403
2,91,8,18,0.444
2,92,3,7,0.429
2,93,23,40,0.575
2,94,5,5,1.0
2,95,23,40,0.575
2,96,39,73,0.534
2,97,25,62,0.403
2,98,17,45,0.378
2,99,24,41,0.585
2,100,17,49,0.347
2,101,15,35,0.429
2,102,24,52,0.462
2,103,5,14,0.357
2,104,25,57,0.439
2,105,4,5,0.8
2,106,35,93,0.376
2,107,15,32,0.469
2,108,12,23,0.522
2,109,5,11,0.455
2,110,13,33,0.394
2,111,23,46,0.5
2,112,15,31,0.484
2,113,2,9,0.222
