,match_id,victor_team,radiant_team,dire_team
0,4889678695,Dire,30-65-15-121-18,96-79-102-93-43
1,4938733953,Dire,47-79-96-5-8,18-13-68-119-129
2,4933196255,Dire,12-86-64-96-21,119-103-29-52-6
3,4888772755,Dire,29-45-54-112-86,64-33-15-8-38
4,4890756454,Radiant,120-8-58-71-11,65-66-18-106-16
5,4920136424,Dire,37-65-27-54-21,107-26-69-73-70
6,4890925224,Radiant,121-86-8-39-38,76-33-42-112-2
7,4938648191,Dire,31-8-43-28-7,129-106-121-111-93
8,4932999752,Radiant,106-68-19-65-8,33-120-90-9-109
9,4910371284,Radiant,87-88-23-89-78,36-104-112-7-12
10,4899381325,Dire,106-52-45-57-27,68-61-98-8-71
11,4926200997,Radiant,16-25-30-54-76,38-99-110-37-120
12,4916422282,Dire,13-112-89-121-96,17-27-57-103-93
13,4903945012,Dire,17-8-69-71-121,95-106-7-55-111
14,4920993031,Radiant,90-15-5-96-10,111-119-114-16-95
15,4916403534,Radiant,31-121-96-25-54,104-8-86-106-37
16,4920124130,Radiant,121-18-19-57-76,79-74-96-86-106
17,4934889968,Dire,41-110-129-52-112,111-104-33-39-73
18,4917560558,Radiant,38-23-4-121-65,68-78-25-54-7
19,4927293147,Radiant,99-68-39-32-54,33-61-121-42-129
20,4883680184,Dire,75-25-96-121-95,91-110-57-93-49
21,4917472635,Radiant,19-86-42-106-58,121-45-110-4-69
22,4889691529,Dire,87-54-25-86-16,3-96-15-95-79
23,4907046143,Dire,93-23-111-16-25,42-129-33-86-37
24,4890534860,Radiant,40-114-19-42-75,104-107-18-35-121
25,4906680068,Dire,30-96-110-10-25,27-23-18-68-69
26,4928937794,Radiant,83-18-25-13-15,119-28-23-54-121
27,4916417733,Dire,1-46-29-110-26,14-93-57-3-25
28,4892363826,Dire,66-47-10-79-96,19-39-91-65-48
29,4929447986,Dire,74-15-7-102-120,98-68-39-75-42
30,4937787484,Radiant,79-95-16-18-74,57-10-86-17-112
31,4912523021,Dire,76-42-129-71-121,13-37-25-54-96
32,4912421402,Radiant,64-65-84-23-1,93-106-78-100-31
33,4930703485,Dire,42-13-68-14-5,16-89-103-33-50
34,4897388384,Dire,97-34-71-96-95,36-42-129-19-121
35,4924989160,Radiant,99-89-3-33-76,111-119-93-39-96
36,4940972041,Dire,95-47-71-53-32,19-2-10-18-111
37,4899861791,Radiant,79-43-10-33-57,18-39-37-120-71
38,4925488768,Radiant,3-52-18-96-33,100-23-89-79-19
39,4900989725,Dire,97-50-119-2-8,89-45-19-16-68
40,4933458921,Dire,38-73-112-106-86,97-13-33-103-44
41,4902359694,Radiant,16-73-21-79-121,54-66-34-83-13
42,4902438142,Dire,121-19-9-70-18,87-21-55-107-54
43,4902545784,Radiant,64-25-95-71-55,37-107-93-2-106
44,4939789794,Dire,60-30-112-93-25,38-86-41-3-34
45,4889115579,Dire,112-52-57-10-27,79-97-106-8-96
46,4928121429,Radiant,27-43-29-6-85,112-17-69-66-89
47,4919199891,Radiant,15-71-54-96-121,80-108-10-79-50
48,4915942220,Dire,23-79-96-1-30,42-106-129-64-3
49,4916600220,Dire,29-16-18-52-30,37-121-8-43-96
50,4911542005,Radiant,54-96-76-86-97,72-21-2-79-91
51,4889163811,Dire,121-27-10-57-25,97-16-79-106-44
52,4931236577,Radiant,97-98-52-121-93,18-37-46-27-19
53,4890329559,Radiant,37-121-57-18-106,71-5-17-55-54
54,4928726029,Dire,86-96-45-10-121,87-6-85-33-46
55,4900754747,Dire,33-62-113-18-3,68-7-52-69-95
56,4926879098,Radiant,76-5-7-8-112,121-35-86-129-18
57,4913532548,Radiant,79-121-96-17-8,93-21-129-68-71
58,4885542769,Dire,54-23-79-99-64,60-46-18-57-86
59,4913793066,Dire,11-52-121-96-79,8-69-45-5-86
60,4936349557,Dire,68-51-42-110-82,18-5-23-86-57
61,4931533488,Dire,84-114-2-70-14,19-83-63-59-110
62,4897146193,Dire,49-99-30-26-76,3-7-106-57-113
63,4925641710,Dire,121-72-8-84-38,5-11-109-112-29
64,4938976174,Radiant,121-73-129-40-114,37-69-27-52-106
65,4901799568,Radiant,64-43-38-93-86,79-39-19-98-89
66,4906281347,Radiant,79-52-48-98-88,18-21-96-5-86
67,4923855004,Radiant,95-16-47-100-66,42-76-5-129-25
68,4912127483,Radiant,50-69-96-111-86,89-106-99-119-37
69,4893015943,Radiant,71-86-25-93-98,13-66-15-43-42
70,4908569607,Radiant,16-111-1-52-25,39-119-55-107-10
71,4903781809,Radiant,42-16-102-25-68,3-129-43-71-8
72,4889464422,Radiant,57-96-119-39-18,71-111-76-38-106
73,4906637853,Dire,86-111-39-16-54,76-37-96-79-41
74,4908482972,Dire,23-44-121-29-19,106-98-30-68-42
75,4889555137,Radiant,21-71-25-42-111,37-81-38-39-121
76,4894187671,Radiant,78-5-57-18-82,68-10-43-71-13
77,4896243111,Dire,120-106-54-33-5,69-42-121-97-114
78,4897693892,Radiant,96-46-91-3-72,21-68-121-8-74
79,4901925673,Dire,71-43-18-33-96,20-21-38-72-91
80,4903235224,Radiant,96-79-100-54-25,91-88-72-29-76
81,4906782865,Dire,72-52-71-91-29,42-23-129-86-68
82,4909159901,Radiant,112-70-88-55-17,111-25-77-2-66
83,4910291798,Radiant,18-17-23-86-68,46-65-91-72-71
84,4911567454,Radiant,94-42-38-121-86,112-27-35-69-18
85,4914395633,Radiant,95-61-129-25-68,113-57-28-11-27
86,4916442428,Dire,19-26-18-38-43,11-16-109-37-27
87,4916833405,Dire,5-94-107-106-29,68-75-129-119-18
88,4922294228,Radiant,65-7-39-89-64,100-53-36-50-8
89,4924884332,Radiant,97-68-106-65-44,98-95-71-13-112
90,4925639869,Radiant,121-80-8-96-119,2-84-113-86-99
91,4926762167,Radiant,97-98-106-57-111,67-23-27-88-96
92,4928555483,Radiant,84-23-2-101-95,8-121-129-97-106
93,4931107545,Dire,27-104-23-5-8,2-83-54-43-52
94,4936224779,Dire,31-91-35-16-72,121-57-29-18-33
95,4890591079,Dire,121-52-16-15-8,66-54-43-27-129
96,4898624985,Dire,52-112-100-80-82,33-17-16-68-42
97,4899156839,Radiant,18-56-71-57-121,65-94-85-25-8
98,4935050950,Dire,76-58-54-100-37,106-129-121-31-61
99,4910014246,Radiant,42-43-129-68-86,27-83-19-96-113
100,4926736019,Dire,84-44-21-60-30,8-37-69-106-62
101,4932559456,Dire,38-71-76-86-72,111-43-93-96-119
102,4929116411,Radiant,25-53-86-28-70,57-26-45-7-8
103,4887717668,Radiant,112-106-75-19-10,54-111-23-57-33
104,4934082164,Dire,100-42-121-74-110,84-106-61-50-102
105,4916220683,Dire,106-86-2-95-37,39-111-70-84-25
106,4923341928,Dire,90-49-119-129-42,82-104-18-79-75
107,4911741009,Dire,95-107-68-98-54,53-121-34-42-62
108,4912137370,Radiant,59-121-54-26-19,114-111-44-108-7
109,4901289902,Radiant,52-93-97-16-102,28-54-86-65-68
110,4931709617,Dire,111-52-7-8-65,93-106-3-21-57
111,4898963307,Dire,95-55-121-107-76,18-15-57-86-68
112,4929265284,Dire,43-8-26-38-102,41-92-68-16-7
113,4918170496,Radiant,121-8-29-100-89,33-70-21-111-2
114,4915770106,Radiant,10-86-55-19-66,26-57-106-70-16
115,4917816501,Dire,106-95-108-120-103,33-89-64-29-43
116,4916047854,Radiant,95-79-71-108-43,18-25-121-33-96
117,4891718348,Radiant,66-16-86-76-70,111-18-120-43-32
118,4934207524,Dire,119-10-42-2-68,20-34-72-91-129
119,4910488022,Radiant,86-95-16-121-17,7-10-57-23-129
120,4922216957,Dire,51-57-27-52-10,17-7-93-50-3
121,4908267022,Radiant,37-52-71-106-1,25-129-43-42-121
122,4900671421,Radiant,37-67-25-88-76,57-93-16-110-43
123,4921946903,Dire,129-39-42-27-121,7-76-79-16-89
124,4926608928,Dire,52-83-7-50-121,46-90-84-64-106
125,4925317287,Radiant,111-59-93-129-119,89-87-4-57-86
126,4938645327,Dire,98-58-85-6-78,16-79-61-121-8
127,4921209771,Dire,79-49-4-129-101,66-25-96-121-89
128,4898874248,Radiant,85-106-65-10-19,16-52-33-42-5
129,4912311025,Radiant,106-54-88-52-64,68-16-89-26-114
130,4912383807,Dire,37-25-121-44-16,42-17-71-75-110
131,4898378888,Dire,3-7-76-129-106,26-17-42-96-68
132,4898142287,Radiant,89-57-17-96-27,68-36-8-79-33
133,4898079807,Dire,94-66-71-120-106,68-73-18-7-60
134,4930579307,Radiant,97-16-79-106-95,17-68-29-42-27
135,4913700434,Dire,114-5-120-40-86,121-18-96-101-76
136,4910376392,Radiant,21-96-8-71-121,2-18-30-37-106
137,4892763044,Dire,37-39-8-97-96,79-112-104-43-42
138,4900361701,Radiant,121-27-43-65-42,30-85-104-96-113
139,4904494803,Dire,42-65-120-86-3,96-89-23-119-37
140,4910595601,Radiant,121-21-22-18-120,73-86-8-27-33
141,4911621842,Dire,48-96-121-79-43,52-23-71-86-54
142,4897880263,Dire,5-53-21-89-51,13-8-69-71-121
143,4905396939,Dire,23-8-31-45-65,68-28-52-76-12
144,4887582422,Dire,10-9-102-65-75,37-95-76-78-33
145,4911714373,Radiant,96-66-23-42-25,7-53-19-106-63
146,4935735517,Radiant,53-99-7-8-37,25-64-84-72-77
147,4885083399,Radiant,112-70-86-96-106,82-38-15-27-83
