match_id,victor_team,radiant_team,dire_team,match_duration
5497083018,Radiant,113-96-1-83-58,106-66-13-67-39,3223
5497084606,Radiant,96-22-46-119-93,19-111-39-6-16,1930
5497086811,Radiant,38-3-88-126-42,35-93-31-82-96,1511
5497087112,Dire,110-23-39-1-7,9-84-38-101-70,2127
5497089611,Radiant,107-59-89-21-110,48-106-3-93-53,2265
5497089907,Radiant,38-100-10-129-5,39-83-51-93-56,754
5497090109,Radiant,38-43-7-111-67,66-54-79-23-28,1871
5497091418,Radiant,53-86-67-99-21,63-129-9-112-121,2351
5497092912,Radiant,39-67-53-26-25,110-86-10-47-98,2492
5497093314,Dire,109-112-3-13-35,58-70-46-7-36,2412
5497093618,Dire,100-12-39-9-112,37-126-67-104-21,1889
5497096105,Radiant,14-67-105-39-64,20-9-23-102-36,2416
5497096317,Dire,48-56-39-49-110,31-9-88-82-10,2355
5497097001,Radiant,93-34-20-120-56,112-17-16-86-48,1700
5497098118,Dire,53-70-23-25-110,60-31-10-7-126,1853
5497099719,Radiant,121-42-126-16-112,66-7-104-39-109,2055
5497100802,Radiant,53-56-41-7-13,88-25-67-98-76,2462
5497101512,Dire,68-60-77-42-65,38-56-5-1-39,1423
5497102502,Dire,129-93-108-30-45,21-39-74-5-70,2654
5497104013,Radiant,101-3-65-114-10,37-93-53-39-23,2277
5497106710,Radiant,93-66-36-13-126,121-112-53-21-10,2817
5497108302,Dire,100-20-12-17-110,31-39-51-82-54,2227
5497113419,Radiant,9-29-69-103-95,36-58-51-105-10,2525
5497115616,Radiant,110-46-12-40-9,8-62-63-30-11,1440
5497118212,Radiant,75-21-93-53-74,17-1-120-19-110,1480
5497118518,Dire,11-104-27-101-53,126-9-129-51-48,2004
5497119906,Radiant,3-46-51-105-53,38-67-31-98-86,2051
5497123507,Radiant,56-30-98-17-74,39-42-84-126-99,2196
5497127813,Radiant,96-112-67-40-92,32-70-23-56-84,2467
5497127900,Radiant,95-103-9-29-79,21-12-37-55-69,1498
5497134306,Radiant,21-62-58-107-93,53-60-70-9-27,1507
5497134805,Radiant,110-86-36-49-48,7-45-13-60-67,1520
5497139806,Dire,46-3-120-9-1,17-31-70-25-53,3569
5497142900,Dire,36-9-120-20-1,126-87-129-53-5,1704
5497147600,Dire,19-93-120-83-53,67-129-84-11-110,1893
5497150008,Dire,86-70-106-120-5,53-39-47-102-12,1980
5497153511,Dire,12-3-51-106-7,53-66-1-40-86,1463
5497161705,Radiant,1-2-110-51-126,64-129-7-46-6,1917
5497170202,Dire,34-53-93-128-30,89-21-65-51-110,1961
5497171704,Radiant,21-18-3-12-75,37-17-95-120-69,1980
5497174004,Dire,108-114-74-111-38,32-107-46-98-39,1996
5497174112,Radiant,64-30-47-70-126,34-9-93-16-31,2694
5497177505,Radiant,74-129-69-104-76,1-21-88-39-3,2273
5497181002,Radiant,126-110-56-67-112,79-70-13-36-64,2374
5497182300,Radiant,49-110-30-70-88,84-25-20-13-42,2356
5497184901,Dire,120-96-70-66-77,56-71-3-74-80,1615
5497185105,Radiant,84-60-8-83-95,67-96-90-126-119,3210
5497186505,Dire,95-38-47-13-84,67-53-64-19-76,1920
5497187214,Dire,93-111-40-2-25,26-86-120-44-46,2145
5497187308,Radiant,28-25-3-44-61,87-80-56-106-11,1249
5497187701,Dire,49-46-7-20-52,59-38-86-8-79,1010
5497188713,Radiant,3-11-102-7-1,64-120-106-119-67,1687
5497192811,Dire,31-10-68-1-119,56-67-64-103-100,2176
5497199213,Radiant,84-89-29-9-106,114-109-102-110-129,1958
5497200811,Dire,106-126-67-3-36,1-60-23-112-51,2142
5497209806,Dire,3-95-120-20-107,102-38-66-67-15,1698
5497210503,Dire,58-53-95-64-80,120-26-106-98-8,1593
5497212609,Radiant,1-111-51-39-104,83-69-12-92-110,1105
5497212807,Dire,17-10-64-74-110,126-13-120-84-1,4059
5497212912,Radiant,51-64-109-61-30,6-59-38-25-16,1711
5497215516,Dire,112-96-86-67-25,80-107-39-53-3,2233
5497218917,Dire,114-53-110-12-21,67-78-19-9-106,2563
5497220803,Dire,36-114-3-95-107,30-88-67-45-85,2244
5497220902,Dire,113-100-63-95-121,64-41-2-126-119,1641
5497223007,Dire,31-56-83-10-2,7-93-105-39-3,1720
5497226419,Radiant,64-95-9-53-78,100-77-108-26-4,1429
5497228110,Radiant,120-51-72-91-19,31-107-39-53-67,2535
5497241518,Dire,31-8-9-70-78,12-104-106-26-58,2594
5497245217,Dire,32-95-101-126-83,74-9-39-110-89,2559
5497245906,Dire,53-21-121-42-129,6-16-50-47-51,3543
5497247816,Radiant,31-2-93-66-76,53-83-15-8-121,1821
5497249616,Radiant,83-65-70-53-120,110-95-17-16-45,3269
5497251619,Radiant,120-86-64-54-36,12-92-39-66-107,1941
5497252317,Dire,76-27-70-31-77,51-6-30-109-126,3164
5497255711,Dire,96-93-17-62-3,110-2-58-106-10,2005
5497257002,Dire,63-84-42-99-100,70-91-96-39-126,1884
5497259016,Radiant,121-33-120-74-81,51-32-29-3-11,3052
5497262216,Dire,21-104-9-48-106,70-26-45-39-17,2223
5497262719,Dire,11-64-12-126-5,80-85-13-65-103,2211
5497264419,Dire,39-99-21-94-111,120-5-110-129-1,1409
5497265006,Dire,72-29-14-65-53,83-10-87-20-129,1932
5497267918,Dire,90-12-75-112-39,3-126-104-93-21,1746
5497268116,Radiant,81-65-3-93-113,80-68-44-112-126,1959
5497272517,Radiant,29-51-91-43-1,99-37-86-54-23,1731
5497273303,Radiant,41-106-86-87-15,21-58-48-5-14,1973
5497273317,Dire,56-33-58-93-21,120-86-91-100-65,1872
5497275102,Dire,4-39-83-53-58,102-25-84-67-121,1504
5497275518,Radiant,17-84-107-70-92,67-87-31-51-46,1873
5497277917,Dire,5-70-99-7-91,101-30-53-120-8,2300
5497279301,Radiant,110-93-35-104-41,95-74-120-31-7,3167
5497282819,Radiant,53-39-120-83-8,21-48-15-126-20,1638
5497286802,Radiant,46-80-19-119-37,107-114-67-84-13,1615
5497288400,Dire,108-6-47-9-3,104-64-32-107-61,2227
5497288810,Dire,61-60-64-93-9,45-92-84-101-104,2267
5497289807,Radiant,17-84-112-63-58,50-126-110-69-70,1374
5497291316,Dire,1-86-2-37-10,128-90-70-104-23,2456
5497293501,Radiant,16-81-90-19-106,38-74-95-119-83,2939
5497295206,Dire,66-42-121-101-47,67-114-3-9-97,2098
5497296805,Radiant,93-31-114-112-60,1-38-3-9-39,1751
5497297908,Dire,129-93-110-3-35,84-38-19-6-53,1510
5497297503,Radiant,13-50-7-23-44,1-53-100-17-86,1953
5497297603,Radiant,17-1-107-30-96,9-87-78-109-74,1902
5497297919,Radiant,1-96-64-46-84,52-31-106-39-10,1621
5497306209,Dire,50-74-64-95-92,65-75-114-100-11,1686
5496949002,Dire,1-110-87-76-126,70-104-27-4-121,1947
5496950512,Radiant,90-120-38-12-107,23-95-65-17-68,1415
5496951913,Dire,11-126-26-86-53,46-7-9-44-39,2272
5496953711,Radiant,43-53-126-96-93,48-83-46-87-2,1602
5496954819,Dire,31-107-106-41-110,12-28-30-98-100,2567
5496956108,Dire,13-7-17-6-90,36-106-9-67-112,2052
5496957409,Dire,7-114-17-78-121,27-69-129-26-12,2546
5496958010,Dire,112-90-102-12-70,51-62-73-87-69,2425
5496958401,Radiant,96-106-70-39-64,3-51-62-45-10,1463
5496963409,Radiant,98-14-46-67-64,29-106-90-107-13,1975
5496966914,Dire,83-38-93-25-50,86-39-16-3-56,2697
5496969618,Dire,39-1-106-102-26,104-110-65-25-67,1770
5496970103,Dire,106-40-66-93-105,23-42-20-2-9,2026
5496970707,Radiant,54-74-52-107-128,65-7-77-3-12,1842
5496970908,Dire,9-99-3-95-120,31-104-106-107-126,2742
5496972917,Dire,42-49-3-9-47,121-51-23-7-109,2345
5496973413,Radiant,32-27-53-100-67,111-39-89-96-112,2301
5496973703,Dire,1-102-62-126-7,80-56-36-110-3,2454
5496977511,Radiant,105-114-67-126-31,39-11-10-19-50,3219
5496977515,Dire,82-70-104-121-101,1-83-46-63-14,2602
5496980714,Radiant,86-107-53-1-120,77-22-39-55-49,2032
5496982613,Radiant,71-110-17-30-114,86-46-129-27-106,4009
5496983412,Dire,58-17-32-19-120,112-12-65-103-108,1830
5496984111,Dire,19-3-111-59-44,86-67-74-62-2,1862
5496986617,Radiant,86-74-8-31-36,10-7-84-39-21,2979
5496997114,Radiant,42-88-14-17-108,111-39-107-2-10,1567
5496998117,Dire,110-74-93-30-2,126-120-63-112-114,3485
5496998210,Dire,64-86-39-54-108,32-126-58-11-100,2180
5497001712,Radiant,9-29-76-8-40,20-36-51-79-48,1317
5497003503,Radiant,84-105-93-45-98,75-108-42-37-39,2552
5497009701,Radiant,14-91-18-77-4,71-22-8-66-75,1807
5497014512,Radiant,7-51-113-89-53,20-35-98-23-56,2996
5497014716,Dire,19-13-39-33-1,53-85-12-126-21,1217
5497021716,Radiant,106-19-20-42-49,13-126-74-48-110,2383
5497022504,Dire,90-34-70-26-108,4-2-8-5-25,2338
5497023205,Dire,62-106-48-23-7,126-77-27-29-64,1709
