match_id,victor_team,radiant_team,dire_team
5146575676,Dire,69-15-114-31-13,83-72-104-99-86
5165483024,Radiant,15-25-103-87-60,8-39-110-112-96
5143148821,Radiant,13-98-107-109-37,15-38-86-19-101
5155562969,Radiant,16-10-84-15-52,13-83-54-11-87
5165256946,Radiant,25-90-54-21-83,19-49-20-15-8
5159400179,Radiant,100-6-47-87-78,20-15-4-38-33
5158231096,Radiant,40-75-10-97-19,112-86-76-38-6
5150352264,Radiant,78-101-97-3-46,9-109-79-23-129
5158745608,Radiant,20-46-33-7-10,102-15-19-109-13
5165237394,Radiant,85-92-11-61-77,40-84-108-13-15
5158184576,Radiant,87-12-47-86-38,11-91-19-65-69
5171641120,Radiant,83-65-19-91-69,36-16-103-86-104
5160702958,Dire,86-98-91-19-13,95-47-87-57-31
5140907475,Radiant,96-13-100-31-15,19-52-60-84-101
5174176757,Dire,87-10-69-23-31,109-28-74-68-112
5169714591,Dire,57-13-100-93-87,83-86-40-11-41
5165190773,Radiant,72-46-13-20-88,76-101-18-121-78
5158464134,Radiant,104-52-59-19-85,23-84-17-108-65
5148235525,Radiant,76-38-19-86-5,23-103-50-31-109
5146328635,Dire,2-86-76-10-37,104-101-13-6-85
5158426016,Radiant,19-23-96-87-10,112-91-74-69-18
5143355263,Dire,15-48-101-85-104,3-76-57-6-86
5143102885,Radiant,85-102-80-19-13,45-16-9-68-63
5165117061,Dire,100-44-28-37-49,26-70-47-86-69
5165964110,Dire,60-46-102-90-119,121-106-93-87-69
5139724843,Dire,5-46-54-102-86,37-59-63-104-107
5139784909,Dire,5-107-81-98-46,95-19-60-13-85
5142416147,Radiant,20-106-51-11-78,87-112-10-69-19
5139857855,Dire,95-60-98-107-31,76-18-23-20-53
5153093163,Radiant,20-19-13-94-103,6-78-22-50-31
5159835995,Dire,97-16-26-25-44,75-121-51-6-46
5172441930,Radiant,96-76-19-79-20,87-11-83-102-10
5155532160,Radiant,20-17-33-84-6,100-40-103-46-8
5156018943,Dire,87-47-81-71-98,14-13-40-73-111
5159084004,Dire,102-10-15-101-69,5-47-93-104-100
5141064294,Radiant,71-111-54-98-97,6-20-65-23-22
5158904886,Dire,16-31-4-121-129,20-11-80-86-69
5146479300,Dire,47-46-107-70-20,13-104-85-49-6
5172772776,Dire,86-52-104-10-13,1-15-84-87-40
5138947065,Radiant,97-23-121-4-25,49-5-48-53-120
5148211725,Radiant,13-75-31-83-63,20-89-69-17-100
5142212994,Dire,84-69-46-101-29,19-76-86-104-85
5155962505,Radiant,22-16-35-45-46,6-48-53-11-50
5156033666,Radiant,13-17-69-102-10,86-11-16-101-15
5152879375,Dire,90-79-28-19-72,78-1-83-23-86
5152850097,Radiant,10-112-11-38-69,20-106-101-46-78
5152778177,Radiant,97-4-103-100-53,16-17-64-25-18
5148846360,Radiant,97-40-103-4-87,25-104-20-46-15
5168645127,Radiant,91-18-86-102-23,15-3-96-52-25
5145225382,Radiant,16-72-9-46-3,90-106-18-104-101
5167193361,Radiant,78-87-112-89-15,31-100-47-98-4
5174277682,Radiant,54-97-30-69-13,72-104-20-87-11
5152032945,Dire,20-46-23-102-27,13-83-38-106-89
5142682426,Radiant,112-70-102-13-114,69-16-73-79-86
5166122746,Dire,89-45-103-86-106,112-12-65-47-37
5166010461,Dire,10-46-121-69-51,87-15-12-57-13
5149023233,Dire,83-13-69-17-70,100-80-64-39-104
5175861032,Radiant,11-99-6-3-103,64-41-46-102-86
5139325918,Radiant,65-103-27-72-49,77-13-18-100-31
5159084329,Radiant,83-86-97-68-70,20-107-106-10-57
5141789698,Radiant,86-96-66-13-6,106-52-40-103-99
5141845606,Radiant,104-95-86-20-96,97-65-85-13-109
5163197758,Radiant,51-8-52-31-11,54-28-39-79-25
5177074551,Radiant,86-96-52-100-3,7-9-23-12-13
5165003016,Radiant,6-110-11-108-112,22-72-16-85-86
5155622239,Radiant,88-53-64-106-94,91-52-38-85-70
5178251923,Dire,93-11-13-7-107,54-52-129-26-85
