match_id,victor_team,radiant_team,dire_team
5062245048,Radiant,46-5-16-88-41,52-7-73-100-90
5085966094,Radiant,54-121-25-28-56,86-1-47-7-84
5088861243,Radiant,84-93-101-7-10,72-65-111-100-96
5092794899,Radiant,25-51-54-84-46,59-90-27-102-52
5089707749,Dire,7-14-12-21-102,90-19-39-44-97
5084291561,Radiant,7-10-51-81-102,96-106-21-5-12
5075801300,Dire,73-19-65-72-87,86-83-22-54-96
5081035369,Radiant,85-25-41-73-84,121-77-72-96-86
5055904332,Dire,25-19-97-29-44,2-79-41-9-47
5088975170,Radiant,81-26-96-86-106,84-74-22-51-41
5083114576,Dire,84-52-102-4-46,10-86-7-11-31
5055849970,Dire,84-8-25-19-29,96-64-4-86-74
5056182352,Radiant,19-54-2-34-111,101-84-100-75-41
5055821409,Dire,83-67-16-27-106,97-22-104-64-41
5056539942,Dire,81-19-2-9-65,74-44-85-104-25
5082849368,Dire,111-16-121-52-1,67-57-90-107-106
5086305126,Radiant,54-75-17-23-71,21-15-22-14-85
5053138562,Radiant,81-74-2-9-65,79-25-41-97-104
5072868904,Dire,72-23-79-28-25,74-102-103-46-52
5086198070,Radiant,114-79-23-74-29,4-47-3-96-9
5079017630,Dire,31-86-16-41-76,96-9-52-44-66
5083693831,Radiant,68-36-41-121-104,72-86-60-23-75
5057965295,Radiant,64-17-84-9-41,25-42-85-19-79
5066728808,Dire,72-14-16-25-90,87-60-9-23-8
5078904249,Radiant,52-84-85-46-40,31-57-79-93-106
5065759778,Dire,52-106-19-5-72,51-73-54-101-79
5065705580,Dire,100-8-74-97-111,25-90-7-10-2
5058262256,Dire,52-16-106-30-41,66-23-102-42-9
5075926337,Dire,79-83-96-54-13,42-38-19-85-52
5070145186,Dire,40-25-7-54-121,9-102-84-23-52
5070201454,Dire,90-39-86-99-93,88-67-7-79-76
5055805643,Dire,110-42-28-84-6,72-102-26-19-47
5058700827,Radiant,90-52-97-42-106,86-72-102-19-29
5074393619,Radiant,101-29-84-52-72,57-46-99-86-90
5064686975,Dire,90-35-86-106-57,11-72-96-79-31
5091009608,Radiant,90-35-81-25-106,85-14-72-54-86
5070379899,Radiant,90-106-2-52-77,29-60-86-8-87
5063928071,Radiant,97-93-104-53-29,72-2-31-9-23
5081760487,Radiant,38-27-129-45-99,71-48-52-77-79
5063735317,Radiant,1-52-64-58-103,9-45-23-3-89
5071340296,Dire,31-19-43-65-41,23-89-106-101-3
5091686783,Radiant,96-54-49-86-68,19-22-37-7-46
5080178151,Radiant,23-101-40-119-106,86-81-51-90-76
5081813326,Dire,121-43-8-104-97,72-26-96-45-37
5063386273,Dire,76-84-86-28-72,5-79-23-39-89
5084347501,Dire,19-17-104-110-72,121-52-23-4-74
5086102863,Dire,42-86-2-85-17,25-12-68-96-82
5094258188,Radiant,99-52-51-73-31,25-106-19-41-9
5057858999,Dire,100-17-99-4-3,5-23-19-65-81
5071933878,Radiant,27-23-22-16-93,96-97-19-1-74
5082799328,Dire,23-86-39-106-31,52-7-49-85-10
5059500882,Dire,25-42-112-69-45,97-74-41-101-121
5061430527,Dire,9-93-76-23-68,86-79-70-29-52
5082914033,Radiant,18-7-84-21-90,13-10-37-19-49
5074627126,Dire,2-41-106-20-68,107-17-7-48-50
5091708660,Radiant,93-13-9-108-57,16-25-84-106-99
5072067624,Radiant,86-91-28-14-72,102-21-8-38-26
5082491714,Dire,15-106-104-9-103,79-74-76-60-57
5075934195,Radiant,45-52-53-77-27,114-19-90-50-51
5072254164,Radiant,79-23-16-41-110,31-60-9-76-4
5052778246,Dire,21-84-96-95-64,58-79-114-25-101
5067087428,Radiant,23-53-52-83-50,120-16-114-44-5
5055835146,Dire,7-54-81-47-27,16-84-76-25-41
5077149878,Radiant,111-25-45-23-18,52-68-81-121-16
5063857203,Radiant,84-76-90-99-101,45-72-25-19-37
5079900829,Dire,2-50-15-101-70,114-110-14-13-87
5070136033,Dire,15-16-107-84-93,79-97-121-4-23
5076415411,Radiant,64-41-47-79-97,121-28-46-106-19
5057580902,Radiant,112-47-83-18-110,16-37-21-72-25
5082089066,Radiant,64-15-73-2-112,30-51-97-67-23
5081809466,Dire,90-72-34-19-50,6-85-99-47-9
5074553885,Dire,50-16-49-121-54,72-93-3-74-2
5082954361,Dire,93-102-66-74-52,73-83-16-79-72
5070043626,Dire,16-53-19-52-42,86-41-84-96-21
5084155505,Radiant,19-52-104-79-10,89-9-64-76-16
5074774964,Dire,19-114-57-5-8,39-41-74-110-86
5057250978,Dire,90-17-96-86-99,52-46-16-68-67
5077837734,Radiant,23-22-102-42-16,8-74-64-104-119
5062269766,Radiant,86-23-45-5-32,13-97-16-50-8
5055944462,Radiant,110-41-34-85-78,93-57-121-29-23
5091220617,Dire,121-86-68-8-16,10-25-45-57-7
5058775204,Radiant,85-28-106-25-121,50-84-16-86-12
5083447407,Dire,111-15-25-65-96,85-11-72-9-23
5070287097,Dire,86-96-84-99-76,19-97-79-47-106
5058033110,Radiant,41-72-121-104-102,112-101-2-93-19
5057408650,Dire,84-42-72-9-55,64-52-41-102-74
5067225389,Radiant,29-121-73-86-8,85-74-72-9-2
5062919966,Radiant,114-7-102-68-42,72-84-96-47-86
5061290608,Dire,84-22-27-72-57,19-106-74-9-79
5052188677,Dire,9-16-3-8-82,87-72-25-38-62
5058605733,Radiant,9-42-76-102-68,52-26-96-35-84
5085320942,Radiant,102-97-112-73-106,41-86-104-52-31
5071648268,Radiant,7-9-87-40-10,84-52-19-86-46
5076970320,Dire,52-64-8-65-19,93-23-16-119-37
5074547442,Dire,9-97-7-65-8,90-61-44-2-27
5085783021,Dire,72-38-26-3-52,9-89-22-51-84
5065965842,Radiant,29-50-27-106-68,9-40-84-46-7
5089120695,Radiant,19-78-79-95-97,16-25-23-54-90
5074560134,Radiant,22-44-5-29-9,86-106-27-93-102
5068225163,Dire,85-78-79-23-72,46-84-54-90-112
5083406172,Dire,90-110-99-46-38,83-59-87-4-60
5085930731,Radiant,41-90-28-100-74,59-14-25-102-42
5058080692,Radiant,29-100-25-32-7,9-36-79-96-81
