match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5496093104,4607683105,True,1593702950,2260,5415,7,7,3,80,10,236,121-26-53-106-6,59-114-7-29-64
5496093106,4607692069,False,1593702953,2576,3962,4,7,22,80,7,122,34-41-121-35-104,60-42-126-128-7
5496093306,4607678647,True,1593702953,1950,3625,1,7,22,80,4,133,7-104-6-79-23,100-126-3-108-1
5496095704,4607694805,True,1593703058,2394,7223,3,7,22,80,6,138,22-86-10-69-5,81-66-106-21-120
5496102206,4607686366,True,1593703331,1967,5626,5,7,22,80,8,156,41-110-36-13-120,9-14-32-10-53
5496103516,4607680584,False,1593703398,1694,5042,5,7,3,80,7,227,111-41-76-88-104,10-40-2-101-87
5496107002,4607685734,True,1593703541,1772,5421,1,7,22,80,2,187,61-105-28-57-1,42-66-100-85-52
5496108109,4607683671,True,1593703589,1600,4441,3,7,22,80,6,155,119-20-36-4-87,9-32-84-104-106
5496110913,4607694419,True,1593703705,2034,4731,4,7,22,80,5,134,93-55-110-120-22,107-7-109-39-31
5496112607,4607682530,False,1593703769,1409,4863,3,7,3,80,8,236,29-56-70-7-46,19-48-69-79-27
5496118803,4607699917,False,1593704044,1951,4928,6,7,22,80,7,191,65-38-12-22-105,104-112-32-52-107
5496121616,4607723030,False,1593704140,2930,4882,4,7,22,80,6,123,58-7-72-39-16,98-93-107-10-87
5496124919,4607708799,True,1593704319,2084,4855,6,7,22,80,6,138,128-81-3-80-104,40-54-96-126-64
5496125011,4607698975,True,1593704308,1644,5304,3,7,22,80,6,151,12-126-83-104-27,107-97-53-111-1
5496134317,4607738765,False,1593704734,3009,7250,3,7,22,80,4,133,64-80-103-45-12,88-55-66-109-120
5496138106,4607713896,False,1593704896,1800,6246,3,7,3,80,6,236,17-12-120-64-79,70-10-26-85-112
5496139818,4607735076,True,1593704974,2826,5132,2,7,22,80,4,182,111-34-32-88-110,19-93-108-62-126
5496142212,4607733554,True,1593705082,2627,6231,1,7,22,80,4,131,107-3-10-49-70,128-92-80-86-65
5496143805,4607731286,True,1593705132,2419,5675,6,7,3,80,9,236,96-67-17-9-87,107-4-120-89-21
5496147810,4607747256,False,1593705345,3146,4691,2,7,22,80,4,193,25-121-81-106-2,86-21-76-95-31
5496149009,4607728977,True,1593705396,2055,6048,4,7,22,80,6,156,90-51-39-106-29,120-10-26-86-52
5496151004,4607736086,True,1593705472,2245,6133,4,7,22,80,4,192,110-20-9-119-19,39-54-120-14-91
5496152802,4607733327,True,1593705574,2086,5084,2,7,22,80,4,122,48-21-97-68-86,105-2-92-19-30
5496153905,4607727216,False,1593705623,1700,5123,4,7,22,80,6,182,42-121-31-56-108,64-77-21-10-7
5496156111,4607729410,False,1593705708,1654,4483,2,7,22,80,2,184,74-120-20-100-1,107-126-30-103-114
5496157710,4607750077,False,1593705796,2567,5284,4,7,22,80,5,136,99-31-70-51-39,20-40-94-64-126
5496158214,4607753846,True,1593705831,2607,6057,4,7,22,80,6,138,79-53-7-93-114,12-84-2-106-25
5496159304,4607755430,True,1593705879,2701,4518,3,7,22,80,5,152,104-3-85-10-8,9-88-70-36-13
5496166902,4607736052,False,1593706244,1611,4679,2,7,22,80,6,154,62-96-121-10-93,74-84-60-101-32
5496170312,4607749292,True,1593706402,2189,6322,7,7,22,80,8,236,74-70-98-45-101,92-60-99-87-56
5496173019,4607740314,False,1593706524,1530,5403,2,7,22,80,6,251,108-88-48-39-86,80-87-119-45-34
5496174501,4607749058,False,1593706602,1881,5736,4,7,22,80,6,153,91-50-111-88-95,23-65-70-3-7
5496177706,4607776412,False,1593706775,2698,4545,8,1,2,80,10,184,63-4-13-110-2,39-111-67-43-71
5496180212,4607740834,False,1593706891,1166,6255,2,7,22,80,7,131,10-65-26-53-70,58-17-14-112-67
5496180517,4607748198,True,1593706899,1386,4875,3,7,22,80,5,138,3-120-42-23-38,10-64-92-77-51
5496181116,4607756349,False,1593706937,2006,4924,6,7,3,80,8,227,107-70-13-58-49,29-48-53-19-3
5496191009,4607761721,True,1593707418,1619,7245,5,7,22,80,7,133,86-39-3-16-10,32-102-95-84-110
5496191514,4607754432,False,1593707438,1432,6065,6,7,3,80,9,236,93-9-74-75-96,15-25-17-104-3
5496195512,4607775881,True,1593707638,2382,6180,4,7,22,80,9,152,5-126-93-21-46,7-121-12-39-56
5496197616,4607771238,False,1593707745,2060,5291,3,7,22,80,9,123,73-120-87-101-93,96-110-126-128-67
5496199805,4607775718,False,1593707836,2188,4816,2,7,22,80,3,133,110-1-17-77-53,32-74-120-27-39
5496200517,4607768951,True,1593707875,1787,5671,4,0,4,80,5,131,26-45-88-41-120,114-102-67-14-110
5496203201,4607765105,False,1593708022,1270,5682,2,7,22,80,3,152,87-91-39-53-44,120-17-5-1-126
5496205704,4607768344,True,1593708149,1489,6328,3,7,3,80,7,236,65-54-9-64-38,109-121-111-2-126
5496206614,4607780907,False,1593708196,1869,4958,5,7,22,80,5,135,36-107-48-20-10,109-85-29-110-65
5496209414,4607788439,False,1593708332,2229,4971,6,7,22,80,7,134,45-33-71-53-12,11-70-9-3-62
5496209516,4607779389,False,1593708353,2015,4840,4,7,22,80,7,137,79-78-128-67-34,96-119-25-77-92
5496213004,4607786437,False,1593708535,1998,4481,4,7,22,80,5,135,32-34-50-29-101,61-39-89-16-21
5496214115,4607792685,True,1593708594,2502,4884,2,7,22,80,2,151,86-69-39-7-1,126-107-56-3-29
5496214514,4607787298,True,1593708609,1929,5532,3,7,22,80,6,182,121-61-12-120-110,1-34-14-51-9
5496218703,4607782338,True,1593708835,1464,5035,3,7,22,80,3,134,9-2-102-46-121,84-10-21-104-70
5496218718,4607807715,True,1593708841,3061,4904,4,7,22,80,7,138,19-63-70-76-45,107-95-68-129-46
5496219307,4607784060,True,1593708871,1877,5846,3,7,22,80,3,133,100-112-39-80-70,98-22-21-20-93
5496221102,4607787212,False,1593708955,1822,4450,4,7,22,80,9,134,39-36-83-41-21,9-96-74-70-3
5496221402,4607800600,True,1593708969,2591,5032,3,7,22,80,6,152,31-39-54-53-120,46-38-41-110-37
5496221517,4607797342,True,1593708982,2185,4844,3,7,22,80,3,132,34-3-119-38-42,23-31-19-13-94
5496223807,4607799104,True,1593709105,2239,5454,2,7,22,80,6,153,22-128-89-52-38,23-53-32-13-107
5496224715,4607804877,False,1593709150,2674,5558,4,7,22,80,4,152,53-3-43-83-34,31-120-7-109-13
5496226608,4607783827,True,1593709212,1604,6308,4,7,3,80,8,236,8-92-112-53-88,33-56-13-21-106
5496228319,4607781981,True,1593709323,1450,4165,4,7,22,80,6,192,64-92-105-51-8,23-109-2-110-112
5496232918,4607797545,False,1593709556,1754,4828,4,7,3,80,10,223,68-101-11-28-93,87-9-41-47-62
5496235001,4607797427,True,1593709640,1706,5421,2,7,22,80,5,136,45-63-101-36-85,80-7-67-64-17
5496235302,4607814250,True,1593709656,2435,4751,3,7,22,80,5,185,70-38-104-107-64,58-53-10-110-23
5496237519,4607805320,False,1593709781,1947,5171,6,7,22,80,7,134,120-31-126-17-70,47-96-62-84-6
5496238516,4607810039,False,1593709828,2237,5567,3,7,22,80,3,155,32-105-121-45-70,7-33-39-12-3
5496238610,4607805208,True,1593709824,2028,5205,4,7,3,80,8,236,10-73-101-64-2,129-58-75-6-106
5496239514,4607811797,True,1593709876,2356,4497,3,7,22,80,5,251,113-114-16-20-86,70-5-62-17-7
5496244115,4607802627,True,1593710122,1475,4588,4,7,22,80,6,155,86-120-87-8-80,85-36-31-46-44
5496245814,4607800053,False,1593710205,1304,5146,2,7,22,80,4,135,112-46-57-29-48,38-74-67-7-30
5496246414,4607821676,True,1593710241,2543,4820,5,7,22,80,5,135,90-114-120-106-107,32-4-87-93-83
5496247910,4607805929,False,1593710328,1552,4870,4,7,22,80,7,191,92-64-44-51-98,3-70-120-53-110
5496248412,4607806895,True,1593710329,1572,6004,5,7,3,80,6,236,67-31-25-92-60,43-83-20-69-121
5496250800,4607810235,True,1593710650,1319,4875,1,7,22,80,3,251,87-28-48-90-9,106-14-8-120-128
5496253515,4607828551,False,1593710830,2544,5342,3,7,22,80,5,134,60-31-67-11-121,45-1-13-75-96
5496254216,4607807398,True,1593710869,1107,6734,3,7,22,80,3,132,58-49-120-86-93,103-65-46-67-31
5496257114,4607818958,True,1593711034,1693,4283,2,7,22,80,2,134,56-39-42-110-64,119-54-62-31-126
5496259500,4607831664,True,1593711174,2291,4947,6,7,22,80,8,123,119-25-32-104-3,110-7-69-106-93
5496260309,4607834056,False,1593711221,2417,5590,3,7,22,80,4,137,7-106-5-120-93,119-10-38-17-128
5496266907,4607816811,False,1593711502,1052,5567,6,7,22,80,8,122,53-13-111-7-54,100-95-126-39-104
5496268405,4607834709,True,1593711604,2152,5409,4,7,22,80,4,133,27-128-4-9-35,80-39-90-106-98
5496269319,4607826591,True,1593711645,1541,4228,1,7,22,80,6,153,8-39-126-5-38,90-108-70-83-25
5496270812,4607831596,True,1593711724,1491,5466,8,7,22,80,10,187,88-5-49-39-77,54-53-65-107-79
5496272418,4607826717,True,1593711806,1446,5090,3,7,22,80,7,137,51-40-120-3-48,112-39-67-29-37
5496278312,4607843654,False,1593712133,2153,4205,5,7,22,80,5,131,7-11-84-51-10,121-64-6-104-9
5496278410,4607838342,False,1593712140,1763,5325,2,7,22,80,4,134,93-104-56-91-84,54-9-39-129-64
5496280710,4607841607,True,1593712254,1814,5923,2,7,22,80,4,137,65-9-21-12-30,51-110-106-37-91
5496281614,4607855341,False,1593712318,2627,5550,7,7,22,80,9,156,93-36-64-34-62,120-63-26-126-83
5496282405,4607841629,True,1593712362,1795,6240,5,7,22,80,6,152,126-95-83-86-104,36-12-27-110-121
5496282615,4607841772,False,1593712372,1640,5361,6,7,22,80,8,133,110-30-6-92-65,9-39-103-11-70
5496285015,4607852880,False,1593712492,2260,4596,3,7,22,80,4,122,121-107-39-77-19,102-7-23-1-53
5496295718,4607843267,True,1593713139,1113,5027,5,7,22,80,6,251,67-17-30-53-21,5-44-62-78-86
5496299018,4607852508,False,1593713328,1458,6154,6,7,3,80,9,227,111-53-93-74-65,70-13-104-51-27
5496299307,4607869769,False,1593713359,2661,4078,3,7,22,80,5,156,94-128-64-114-120,21-23-56-67-22
5496299811,4607854000,True,1593713385,1571,5106,5,7,22,80,6,132,110-32-44-82-121,100-50-104-67-49
5496300901,4607872099,False,1593713450,2704,5482,3,7,22,80,5,132,113-39-121-105-51,110-86-129-34-10
5496304611,4607870692,True,1593713670,2342,5070,2,7,22,80,4,182,126-120-128-6-7,101-98-110-75-44
5496305107,4607862926,False,1593713696,1857,5882,4,7,22,80,6,122,86-84-95-7-23,100-39-77-3-67
5496309100,4607863197,True,1593713921,1656,5660,4,7,3,80,8,236,101-15-2-79-95,62-13-56-70-28
5496309107,4607872508,False,1593713932,2205,5750,3,0,22,80,4,132,93-129-119-86-36,6-104-17-25-53
